,location,city,latitude,longitude
265,Emaar Canyon Views,Islamabad,33.518929,73.184692
266,G-13,Islamabad,33.645957,72.96247199999999
267,F-17,Islamabad,33.631987,72.880297
269,Bahria Town,Islamabad,33.695972999999995,73.215615
271,Bahria Town,Islamabad,33.550837268049,73.10628890991201
272,G-13,Islamabad,33.646894803473,72.959500112411
273,Ghauri Town,Islamabad,33.619335,73.12531
274,G-11,Islamabad,33.663818,72.99526
275,F-6,Islamabad,33.735118,73.077486
278,F-11,Islamabad,33.680925,72.99797099999999
279,G-13,Islamabad,33.649315,72.968395
280,Kuri Road,Islamabad,33.678171,73.162161
282,F-11,Islamabad,33.679210999999995,72.988787
283,Pakistan Town,Islamabad,33.575405,73.143325
284,G-10,Islamabad,33.671890000000005,73.012254
285,F-11,Islamabad,33.683532,72.99041
286,Chatha Bakhtawar,Islamabad,33.666470000000004,73.15393399999999
287,G-11,Islamabad,33.667854,73.003843
288,E-11,Islamabad,33.704599,72.978702
289,F-10,Islamabad,33.691781,73.000288
292,F-7,Islamabad,33.71776734842,73.061361908996
293,Bani Gala,Islamabad,33.713488,73.16268000000001
295,F-8,Islamabad,33.713131,73.038383
296,F-8,Islamabad,33.707384000000005,73.036723
303,G-11,Islamabad,33.675604,73.000367
304,F-11,Islamabad,33.683533000000004,72.99041
307,Muslim Town,Faisalabad,31.470052022249,73.088285923004
308,Millat Town,Faisalabad,31.490612,73.10647
309,Raza Abad,Faisalabad,31.42599,73.04821700000001
310,Satiana Road,Faisalabad,31.372179,73.12559399999999
311,Abdullahpur,Faisalabad,31.423683,73.10636
312,Wapda City,Faisalabad,31.510947,73.220086
314,Humak,Rawalpindi,33.538462,73.144913
315,Westridge,Rawalpindi,33.607828999999995,73.021817
316,Bahria Town Rawalpindi,Rawalpindi,33.555451,73.13821800000001
317,Gulshan Abad,Rawalpindi,33.530556,73.06126400000001
318,Bahria Town Rawalpindi,Rawalpindi,33.549693,73.13053599999999
319,Bahria Town Rawalpindi,Rawalpindi,33.485576,73.08393000000001
321,Bahria Town Rawalpindi,Rawalpindi,33.555594,73.133669
322,Bahria Town Rawalpindi,Rawalpindi,33.55892,73.118649
324,Bahria Town Rawalpindi,Rawalpindi,33.50136,73.10869100000001
325,Police Foundation Housing Scheme,Rawalpindi,33.566321,73.133953
327,Bahria Town Rawalpindi,Rawalpindi,33.550623,73.123112
329,Bahria Town Rawalpindi,Rawalpindi,33.57022,73.116674
330,Bahria Town Rawalpindi,Rawalpindi,33.502004,73.074353
332,Bahria Town Rawalpindi,Rawalpindi,33.573152,73.110881
333,Bahria Town Rawalpindi,Rawalpindi,33.550408000000004,73.115473
334,Bahria Town Rawalpindi,Rawalpindi,33.495991,73.100195
335,Chakri Road,Rawalpindi,33.563712435267,73.015782125294
338,Askari 14,Rawalpindi,33.543004,73.067576
339,Askari 13,Rawalpindi,33.569523,73.064679
340,Askari 12,Rawalpindi,33.597588,73.080837
342,Judicial Colony,Rawalpindi,33.595729,73.134502
346,Bahria Town Rawalpindi,Rawalpindi,33.498497,73.101182
347,Askari 10,Rawalpindi,33.586989,73.077743
348,Gulshan-e-Iqbal,Rawalpindi,33.551195,73.02615899999999
349,Shalley Valley,Rawalpindi,33.597548,73.014176
360,Askari 7,Rawalpindi,33.56103,73.062276
361,Dhok Kashmirian,Rawalpindi,33.643,73.08328
363,Gulraiz Housing Scheme,Rawalpindi,33.5628,73.10714399999999
369,Lalazar,Rawalpindi,33.566573,73.056579
370,Askari 11,Rawalpindi,33.598893,73.026845
371,Adiala Road,Rawalpindi,33.550869,73.05618199999999
372,Bahria Town Rawalpindi,Rawalpindi,33.501131,73.111915
374,Bahria Town Rawalpindi,Rawalpindi,33.499892,73.05830999999999
375,Bahria Town Rawalpindi,Rawalpindi,33.497172,73.080883
376,Satellite Town,Rawalpindi,33.63613,73.06855999999999
386,Al-Noor Colony,Rawalpindi,33.628011,73.10755999999999
391,Bahria Town Rawalpindi,Rawalpindi,33.49116,73.093243
394,Satellite Town,Rawalpindi,33.635047,73.07582
398,Bahria Town Rawalpindi,Rawalpindi,33.526943,73.093743
399,Affandi Colony,Rawalpindi,33.631594,73.08103
402,Sadiqabad,Rawalpindi,33.632397631086995,73.080732822418
407,Misryal Road,Rawalpindi,33.600512236518995,72.99803066260199
408,Bahria Town Rawalpindi,Rawalpindi,33.498711,73.10435799999999
411,Askari,Lahore,31.460187,74.432459
