location,city,latitude,longitude
College Road,Lahore,31.422981,74.28193
Aashiana Road,Lahore,31.428051,74.37968000000001
Ali View Park,Lahore,31.494262,74.400187
Divine Gardens,Lahore,31.502385,74.414506
Rail Town (Canal City),Lahore,31.441643737814,74.20201420784001
Bahria Nasheman,Lahore,31.320611,74.403269
Ghaziabad,Lahore,31.557474,74.395108
Shadbagh,Lahore,31.602644,74.340019
Kahna,Lahore,31.373864,74.362316
Doctors Housing Society,Lahore,31.461139000000003,74.233675
Vital Homes Housing Scheme,Lahore,31.427946,74.343731
Bilal Gunj,Lahore,31.580583,74.301438
Zamzama,Karachi,24.823782,67.039905
Federal B Area,Karachi,24.929992,67.054489
Jamshed Town,Karachi,24.859299,67.055311
Gulshan-e-Usman Housing Society,Karachi,24.979744,67.18503299999999
Chapal Uptown,Karachi,25.045518,67.13858
Bath Island,Karachi,24.835661,67.028604
Manzoor Colony,Karachi,24.850265,67.085216
Anda Mor Road,Karachi,24.964946,67.056945
Airport,Karachi,24.902397155762,67.159805297852
Liaquatabad,Karachi,24.903253,67.052279
Shah Faisal Town,Karachi,24.880071,67.162514
Lehtarar Road,Islamabad,33.633999732916,73.154835448347
G-9,Islamabad,33.682675,73.030243
E-14,Islamabad,33.66964,72.923294
I-14,Islamabad,33.617443,72.969296
Tarlai,Islamabad,33.640278,73.15392
PWD Housing Scheme,Islamabad,33.570792,73.145256
Simly Dam Road,Islamabad,33.728837,73.229934
I-9,Islamabad,33.653065999999995,73.053846
Burma Town,Islamabad,33.642178619562,73.129205703735
National Police Foundation O-9,Islamabad,33.576471999999995,73.13221
Naval Anchorage,Islamabad,33.573009000000006,73.198629
Islamabad Highway,Islamabad,33.68272,73.07338399999999
CBR Town,Islamabad,33.559385,73.141265
Jhang Syedan,Islamabad,33.643982,73.20804
I-8,Islamabad,33.662782,73.077793
D-17,Islamabad,33.657138,72.858281
Arsalan Town,Islamabad,33.642491,73.213663
Kashmir Highway,Islamabad,33.651923,72.985343
I-10,Islamabad,33.646421000000004,73.045263
Pir Sohawa,Islamabad,33.806977,73.128156
Paradise Valley,Faisalabad,31.473035,73.195024
Ghulam Mohammad Abad,Faisalabad,31.44082,73.043532
Usman Town,Faisalabad,31.463279724121,73.09718322753899
Zulfiqar Colony,Faisalabad,31.387106,73.08827
Madina Town,Faisalabad,31.41764,73.120401
Gulshan-e-Rafique,Faisalabad,31.374964,73.06499699999999
Rachna Town,Faisalabad,31.390572,73.1158
Eden Valley,Faisalabad,31.436062,73.15459
Ghalib City,Faisalabad,31.421539000000003,73.14799000000001
Sargodha Road,Faisalabad,31.444042,73.088565
Samundari Road,Faisalabad,31.34583,73.06851999999999
Jaranwala,Faisalabad,31.32571407953,73.421204052866
Peoples Colony No 2,Faisalabad,31.395993,73.106961
Hilal Road,Faisalabad,31.38635,73.09943
Yousaf Town,Faisalabad,31.3918552811,73.114590011537
Jail Road,Faisalabad,31.435240616906,73.063445985317
Gulbahar Colony,Faisalabad,31.399473044549,73.105419874191
Lasani Town,Faisalabad,31.463701,73.07727
Shahzad Colony,Faisalabad,31.395879,73.111181
Narwala Road,Faisalabad,31.440014,73.022161
Chaklala Scheme,Rawalpindi,33.656924,73.143826
Khayaban-e-Sir Syed,Rawalpindi,33.635240484949,73.041763007641
Gulbahar Scheme,Rawalpindi,33.588932,73.12682099999999
Gulistan Colony,Rawalpindi,33.56904,73.0953
Airport Housing Society,Rawalpindi,33.584261,73.121663
Peshawar Road,Rawalpindi,33.602664000000004,73.03019599999999
Afshan Colony,Rawalpindi,33.595247,73.02359100000001
Ghous-e-Azam Road,Rawalpindi,33.556512,73.011289
Girja Road,Rawalpindi,33.564923,72.993558
Dhoke Banaras Road,Rawalpindi,33.59247,73.01495
PWD Colony,Rawalpindi,33.570881,73.145235
Tulsa Road,Rawalpindi,33.567664,73.052858
New Lalazar,Rawalpindi,33.561043,73.07061999999999
Ali Town,Rawalpindi,33.553087,73.055075
Saddar,Rawalpindi,33.596104,73.05358199999999
Taj Bagh Scheme,Lahore,31.563251,74.41388
Gohawa,Lahore,31.492432,74.427974
Multan Road,Lahore,31.431593,74.179974
Rehmanpura (Ferozpur Road),Lahore,31.521776000000003,74.319835
Shadipura,Lahore,31.599153,74.403949
Swami Nagar,Lahore,31.578462,74.346285
Baghbanpura,Lahore,31.584532,74.37298
Nasheman-e-Iqbal,Lahore,31.433497,74.248853
Lake City,Lahore,31.359648,74.253075
AWT Army Welfare Trust,Lahore,31.347406,74.207447
Eden Villas,Lahore,31.470028000000003,74.321749
Sui Gas Housing Society,Lahore,31.453561,74.398513
Misri Shah,Lahore,31.5838,74.339662
Thokar Niaz Baig,Lahore,31.470693,74.241357
Lahore Medical Housing Society,Lahore,31.581899,74.463515
UBL Housing Society,Lahore,31.473126,74.413572
Salli Town,Lahore,31.555499,74.41246
PIA Main Boulevard,Lahore,31.448707,74.283357
Abdalians Cooperative Housing Society,Lahore,31.456124,74.268823
Nishtar Colony,Lahore,31.422218,74.364395
Bhatta Chowk,Lahore,31.487441,74.41206
Madina Colony,Lahore,31.491334,74.361305
Highcourt Society,Lahore,31.455906158047,74.293024241924
Ravi Park,Lahore,31.595315000000003,74.30650200000001
Zaman Colony,Lahore,31.495177,74.37139
Central Park Housing Scheme,Lahore,31.321674,74.38086
Mohafiz Town,Lahore,31.451584000000004,74.223247
Awan Town,Lahore,31.503922,74.260068
Shadab Garden,Lahore,31.422804,74.355125
Al Rahim Homes,Lahore,31.480575,74.296239
Chauburji Chowk,Lahore,31.554108000000003,74.30512
Islamia Park,Lahore,31.548701,74.303386
Sunny Park,Lahore,31.452755,74.258437
Fort Villas,Lahore,31.486064,74.37807099999999
Izmir Town,Lahore,31.409729,74.178658
PIA Housing Scheme,Lahore,31.446129,74.278986
Dream Avenue Lahore,Lahore,31.402868,74.236129
Mehar Fayaz Colony,Lahore,31.576632,74.40516
Al-Amin Housing Society,Lahore,31.480609,74.42101
Defence Road,Lahore,31.395187,74.210401
Dharampura,Lahore,31.554037,74.366615
Hassan Town,Lahore,31.505514,74.265089
Lalazaar Garden,Lahore,31.509067,74.246771
Eden Place Housing Scheme,Lahore,31.394949,74.31860999999999
Sukh Chayn Gardens,Lahore,31.392183000000003,74.15821600000001
BOR - Board of Revenue Housing Society,Lahore,31.478452,74.296846
Afzal Park,Lahore,31.573847,74.427051
Naz Town,Lahore,31.404006,74.264342
Green Town,Lahore,31.434742,74.30472900000001
Bin Qasim Town,Karachi,24.836896,67.19578299999999
Clifton,Karachi,24.831143,67.026765
Gulberg Town,Karachi,24.918846130371,67.073608398438
Super Highway,Karachi,24.991426,67.169123
Azam Town,Karachi,24.845803524602,67.074338793755
Korangi,Karachi,24.83179,67.12489000000001
Delhi Colony,Karachi,24.831727,67.043931
Saima Luxury Homes,Karachi,24.859036,67.144243
Rufi Rose Petals,Karachi,24.9551,67.110865
Ali Pur,Islamabad,33.644278,73.173237
FECHS,Islamabad,33.572044,73.17508199999999
Shaheen Town,Islamabad,33.641746999999995,73.217908
Chak Shahzad,Islamabad,33.658353000000005,73.144054
H-13,Islamabad,33.637489,72.972193
G-14,Islamabad,33.641955,72.952859
National Police Foundation,Islamabad,33.700462,72.981226
Shah Allah Ditta,Islamabad,33.712988384938,72.921280860901
Islamabad Expressway,Islamabad,33.632166,73.11150699999999
Margalla Town,Islamabad,33.672515000000004,73.106276
Tarnol,Islamabad,33.611346000000005,72.857287
H-15,Islamabad,33.617012378796,72.937946431339
G-8,Islamabad,33.69106473174,73.053562045097
D-13,Islamabad,33.69453,72.929385
204 Chak Road,Faisalabad,31.404153000000004,73.13695899999999
Mansoorabad,Faisalabad,31.435657,73.11859799999999
Nemat Colony No 1,Faisalabad,31.411524,73.123183
Gulshan e Madina,Faisalabad,31.491669,73.07914
Gulistan Colony No 1,Faisalabad,31.441735,73.100789
Shalimar Park,Faisalabad,31.376022,73.091042
Eden Orchard,Faisalabad,31.484528000000005,73.085066
Eden Gardens,Faisalabad,31.424316,73.149465
Khayaban Colony,Faisalabad,31.427272,73.135886
Nisar Colony,Faisalabad,31.376585267942,73.06733250618
Nawaban Wala,Faisalabad,31.383794,73.06002600000001
Manawala,Faisalabad,31.460590000000003,73.139663
Others,Faisalabad,31.4187,73.0791
Nazimabad,Faisalabad,31.407751,73.069203
Shahbaz Town,Faisalabad,31.416689579295,73.040817193687
Kaleem Shaheed Colony No 1,Faisalabad,31.432764,73.039556
Garden Colony,Faisalabad,31.397495000000003,73.105595
Ali Garden,Faisalabad,31.381594,72.979866
Gulberg,Faisalabad,31.424598,73.061435
Kareem City,Faisalabad,31.476118,73.064514
Lasani Garden,Faisalabad,31.457771,73.071649
Gulzar-e-Quaid Housing Society,Rawalpindi,33.600376000000004,73.130983
Harley Street,Rawalpindi,33.576048,73.044317
Fazal Town,Rawalpindi,33.602968,73.11795500000001
Chakra,Rawalpindi,33.58932,72.979099
Muslim Town,Rawalpindi,33.623764651009004,73.094416111708
Qasimabad,Rawalpindi,33.614011726496,73.071913719177
Media Town,Rawalpindi,33.559241464442,73.133563958108
Palm City,Rawalpindi,33.583085,73.107189
Murree Road,Rawalpindi,33.657522,73.082898
Dhok Sayedan Road,Rawalpindi,33.587944907177,73.01358103752099
Dhoke Khabba,Rawalpindi,33.615274,73.07794200000001
Range Road,Rawalpindi,33.59859301251,73.018003463876
Dhok Paracha,Rawalpindi,33.640453,73.08409
DAV College Road,Rawalpindi,33.610207,73.060715
Lawrence Road,Lahore,31.554713,74.32539399999999
Jewa Town,Lahore,31.417283,74.289862
Ahbab Colony,Lahore,31.485479,74.250062
Shalimar Housing Scheme,Lahore,31.582612,74.416838
Shahkam Chowk,Lahore,31.405671429625,74.168527834117
Walled City,Lahore,31.582466,74.326029
Gulshan Park,Lahore,31.571340000000003,74.394071
Asif Colony,Lahore,31.596796,74.38580999999999
Outfall Road,Lahore,31.570661716738,74.285323619843
Bagarian,Lahore,31.425943,74.296
Jinnah Colony,Lahore,31.42489,74.363461
Sajid Garden,Lahore,31.58398,74.461377
Salamatpura,Lahore,31.582849,74.417009
Garhi Shahu,Lahore,31.56625,74.344125
Sham Nagar,Lahore,31.554692026089,74.298419170082
River View Coop Housing Society,Lahore,31.441296,74.24474000000001
Wahdat Colony,Lahore,31.515703,74.307303
Bahar Shah Road,Lahore,31.54532,74.40368000000001
Raiwind Road,Lahore,31.429249,74.230785
Ring Road,Lahore,31.595041,74.48095
Iqbal Avenue,Lahore,31.445799,74.27067
Rehan Garden,Lahore,31.346271999999995,74.3782
Abid Market,Lahore,31.553671,74.315586
Ittifaq Town,Lahore,31.49401,74.25717
Shalimar Town,Lahore,31.594824,74.386277
Al Hafeez Gardens,Lahore,31.590393,74.46781
Canal Bank Housing Scheme,Lahore,31.572433,74.413
Muslim Town,Lahore,31.519709,74.32281
Shershah Colony - Ichra,Lahore,31.536335,74.321308
Al-Hamd Garden,Lahore,31.614294,74.2485
Audit & Accounts Housing Society,Lahore,31.397055,74.26946
Beacon House Society,Lahore,31.361846923828,74.221229553223
Orangi Town,Karachi,24.950888,66.97420100000001
Jinnah Avenue,Karachi,24.896032457219,67.174240350723
Landhi,Karachi,24.845796222756,67.139983177185
Dalmia Cement Factory Road,Karachi,24.903908,67.102623
Sindh Industrial Trading Estate (SITE),Karachi,24.917615789401,66.99796691536899
Rashid Minhas Road,Karachi,24.895994,67.119191
Dastgir Colony,Karachi,24.925717,67.077208
Tariq Road,Karachi,24.871155,67.05957099999999
Meherban Colony,Islamabad,33.657421235961,73.160767257214
Zaraj Housing Scheme,Islamabad,33.512166,73.15135
Multi Residencia & Orchards,Islamabad,33.718725,72.70551800000001
Jhangi Syedan,Islamabad,33.624658000000004,72.943627
AGHOSH,Islamabad,33.564508000000004,73.153458
Khanna Pul,Islamabad,33.619440000000004,73.11041999999999
PAEC Employees Cooperative Housing Society,Islamabad,33.480561,73.205827
Taramrri,Islamabad,33.64192,73.165727
Peoples Colony No 1,Faisalabad,31.402562,73.110247
Gulshan-e-Hayat,Faisalabad,31.41578,73.045905
Zia Colony,Faisalabad,31.441479,73.142581
Sheikh Colony,Faisalabad,31.411157,73.044569
Jameel Town,Faisalabad,31.445323,73.059014
Green Town,Faisalabad,31.46328,73.097187
Khayaban Colony 2,Faisalabad,31.4276,73.13118
Canal Road,Faisalabad,31.431648,73.12188499999999
Gulfishan Colony,Faisalabad,31.404954887475,73.043979853392
Dhudi Wala,Faisalabad,31.403612,73.149891
Canal Park,Faisalabad,31.44488403543,73.144698143005
Shadman Colony,Faisalabad,31.402614068681,73.116577863693
Jhang Road,Faisalabad,31.40016,73.03095
Citi Housing Society,Faisalabad,31.532835222345,73.07627230882599
Chak 208 Road,Faisalabad,31.430292,73.148848
Airport Road,Rawalpindi,33.609596,73.1064
Gawal Mandi,Rawalpindi,33.605015,73.05891
Bostan Road,Rawalpindi,33.576262771976,73.101353645325
Morgah,Rawalpindi,33.544399,73.072507
Lalkurti,Rawalpindi,33.582028,73.058222
Mohammadi Colony,Rawalpindi,33.591045,73.02166
Tench Bhata,Rawalpindi,33.584665,73.035436
High Court Road,Rawalpindi,33.563238,73.102118
Islamabad Highway,Rawalpindi,33.591593574377,73.121607005596
Sangar Town,Rawalpindi,33.61267,73.11939
Khayaban-e-Tanveer,Rawalpindi,33.584545,73.09965
